Username,Text,Created At,Retweets,Likes,Sentiment
Jameson Lopp,"Buffett just got flipped by ""rat poison."" https://t.co/SLo6RgvSCs https://t.co/ZL7Vu3m5TP",2020-12-31 00:10:55+00:00,395,2539,-1
CoinDesk,"Bitcoin hits $29K for first time ever, raising HODLer hopes for $30K by New Year's

by @KReyofCoinDesk 

https://t.co/KYh0KsZSAh",2020-12-31 00:26:59+00:00,36,153,0
DETERMINISTIC OPTIMISM 🌞,"Bitcoin collateral loan people, instead of liquidating customers on a flash crash just offer a high interest extended line of credit. Like overdraft.

Time to stop wasting time with problems and finding solutions, no?",2020-12-31 00:32:08+00:00,0,56,-1
Jameson Lopp,"It has been a jarring year when so many are suffering and yet those who sought shelter in Bitcoin are prospering.

It brings the Bitcoin Citadel meme much closer to reality.
https://t.co/0JNxKrXnRy",2020-12-31 00:47:17+00:00,7,95,0
nic carter,Bitcoin is a prosperity gospel that actually makes you rich,2020-12-31 01:15:39+00:00,14,237,1
Anthony Pompliano 🌪,What an incredible year it has been for Bitcoin. Enjoy this highlight video from my team 🙏🏼 https://t.co/3HFFUTzfH7,2020-12-31 01:25:25+00:00,844,3518,0
Anthony Pompliano 🌪,"Appearances by @chamath @RaoulGMI @michael_saylor @MelissaLeeCNBC @andrewrsorkin @Sonnenshein @PeterSchiff and many others. 

Big thanks to @mattmarlinski for putting it together and @Jordy__Long for all the video support this year.",2020-12-31 01:27:29+00:00,10,221,0
nic carter,"Things Ripple has actually claimed 

- banks will use XRP (they don’t)
- XRP will be the regulated crypto (SEC is suing Ripple)
- XRP is a commodity that Ripple happens to own a lot of (they created it)
- XRP is a bridge currency (stablecoins actually fulfill this use case)",2020-12-31 01:39:59+00:00,86,617,0
Jameson Lopp,"@muneeb @AriDavidPaul 10 BTC makes a billionaire.
Always has.",2020-12-31 02:08:57+00:00,19,371,1
Jameson Lopp,@diveej3 @muneeb @AriDavidPaul This is unrelated to USD. Bitcoin native units.,2020-12-31 02:30:16+00:00,0,26,1
Dylan LeClair,@BrainHarrington #Bitcoin vs Everything.,2020-12-31 04:15:43+00:00,0,4,1
nic carter,A lot of ppl will tell you this is normal. The existence of those people is why bitcoin has been a great trade for the last decade,2020-12-31 04:18:14+00:00,20,170,0
Dylan LeClair,"@Croesus_BTC @edstromandrew Wow. Mind boggling.

The depression that follows the collapse of fiat will be massive. 

Necessary and long overdue, but.... wow.",2020-12-31 04:40:22+00:00,0,5,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@ledgerstatus Bitcoin will have failed,2020-12-31 08:26:02+00:00,0,15,-1
CoinDesk,"Number of people holding lots of bitcoin surges to new record high in rare 'whale-spawning season.'

by @godbole17 

https://t.co/SoJN1nCeMd",2020-12-31 11:40:29+00:00,15,75,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"The latest $BSV halving was recorded in 36 days. In the same period, #Bitcoin went from $19k - $29k.

Congratulations. https://t.co/IXhM2Q4N23",2020-12-31 12:28:09+00:00,0,57,1
