Username,Text,Created At,Retweets,Likes,Sentiment
Michael Saylor,This year #Bitcoin empowered @MicroStrategy. 🚀 https://t.co/8DbXQwovI1,2023-12-31 13:44:36+00:00,1180,8228,0
Michael Saylor,Wishing you all a Happy New Year full of #Bitcoin &amp; Good Cheer.🧡,2023-12-31 20:44:27+00:00,997,11250,1
nic carter,"in 2024 we can stop writing ""in these uncertain times"" in emails. the times are certain now.",2023-12-31 18:08:31+00:00,16,346,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"2023 has been a crazy year for an idiot from Bedford:
- Another 12.5m downloads of @WhatBitcoinDid, taking us to a lifetime of 44m downloads.
- @realbedford we won a league and cup double in May, now our mens and ladies team are both top of their leagues.
- Bought @auctionroombar",2023-12-31 19:06:11+00:00,26,903,1
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@missteencrypto Miss 20's #bitcoin,2023-12-31 19:15:31+00:00,0,7,1
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@Michael52682075 @Cipherhoodlum @LHSummers So... millions of people own Bitcoin around the world, millions use it.

Creating a fully decentralised money isn't easy, these things take time. The adoption rate is impressive and it works.

Feel free to ignore it.",2023-12-31 16:28:59+00:00,0,1,1
Anthony Pompliano 🌪,@aprende_btc Solid goal,2023-12-31 20:55:36+00:00,0,7,1
Anthony Pompliano 🌪,"Interest rates rose at the fastest rate in history but assets took off this year:

- Bitcoin: +154%
- Nasdaq: +54%
- S&amp;P: +24%
- Home index: +7%

Most of the predictions were wrong. Investing is hard. The future is unknowable.

Good luck to everyone in 2024.",2023-12-31 01:32:37+00:00,141,1231,0
Anthony Pompliano 🌪,"@ChrisBloomstran Fair points (especially forward looking markets), but even w/ the 2 year timeframe I don’t think very many people thought SPY &amp; homes would be positive and BTC/QQQ only down single digits if interest rates were 5%+

I didn’t think it either so just calling out investing is hard!",2023-12-31 03:05:54+00:00,0,9,0
Jameson Lopp,The @BitMEX insurance fund only grew by 0.3% (100 BTC) in 2023. It holds 0.19% of all BTC. https://t.co/j5UIYekiUM,2023-12-31 15:25:56+00:00,2,22,0
Jameson Lopp,Open interest in bitcoin perpetual and futures contracts  increased 75% during 2023 to $11.2 billion. https://t.co/lEAERyOv5O,2023-12-31 16:19:31+00:00,6,24,0
Adam Back,@BobMcElrath @TTrevethan @PeterMcCormack @Liquid_BTC you can't use client state for backups. seeds are better ergonomics. small blobs in a non-consensus area for a descriptor and a few paths is fine. people will otherwise store it on op_returns which uses up transaction space.,2023-12-31 04:53:00+00:00,0,2,0
Adam Back,"@BobMcElrath @TTrevethan @PeterMcCormack @Liquid_BTC By all means select or build wallet encrypted clouds, interoperable encrypted layer 2 state backups. For example greenlight @Core_LN has HA backups, and multiple power users backup strategies, you can also make cooperative best effort backups with peers, before LN-SYMMETRY.",2023-12-31 13:37:33+00:00,0,1,1
Adam Back,"@BobMcElrath @TTrevethan @PeterMcCormack @Liquid_BTC We should hold mainchain cold storage to a higher standard. That is designed for highest assurance long term storage. Layer2s are hotter, shorter-term and in some involve lots of client side state. That's not what I'm talking about, that's a layer2 backup risk tradeoff you take.",2023-12-31 13:34:50+00:00,0,2,1
Adam Back,"@BobMcElrath @TTrevethan @PeterMcCormack @Liquid_BTC It's not a ""nice dream"" it's the status quo for mainchain for 12 years since 2012 BIP 32, fixing the frequent back or risk losing funds of the original 100 address cache model. It's only the popularity of multisig with required xpubs, and custom miniscripts that finally broke it.",2023-12-31 13:29:25+00:00,0,0,0
