Tweet_count,Username,Text,Created At,Retweets,Likes
121,Anthony Pompliano 🌪,"[NEW POST] We Should Not Normalize Economic War On Innocent Civilians

We wouldn’t wage violent war on innocent civilians so why are we okay with waging economic war on them? 

https://t.co/6wWVoLvwIs",Tue Mar 01 14:15:41 +0000 2022,62,510
89,Anthony Pompliano 🌪,"New episode with Head of Facebook Financial @davidmarcus is live!

- bitcoin
- stablecoins
- Novi
- digital wallets
- Libra
- Diem
- financial regulation
- trust issues
- the metaverse

This one was fun. Enjoy! 

https://t.co/aao5eYYxmp",Wed Sep 01 11:40:00 +0000 2021,16,95
88,Anthony Pompliano 🌪,Good morning! Let’s get after it relentlessly today 🔥,Wed Sep 01 11:14:58 +0000 2021,30,643
87,Anthony Pompliano 🌪,"Another day in the stock market....another S&amp;P 500 all-time high.

The video game continues!",Wed Sep 01 17:47:44 +0000 2021,124,1966
86,Anthony Pompliano 🌪,"Today is a packed episode of The Best Business Show 🔥

- @100trillionUSD S2F
- Social security is a scam
- College player secures the bag
- China has new rules for kids

Then @ObiWanBenoni talks NFTs and @AdamDraper talks bitcoin &amp; crypto. 

WATCH: https://t.co/UZYAlRqQBG",Wed Sep 01 15:00:11 +0000 2021,17,150
85,Anthony Pompliano 🌪,"Today @AdamDraper told me that his seed round investment in Coinbase is up 5,000x.

This is unreal. Watch here 👇🏼

https://t.co/x0rN7MvEjq",Wed Sep 01 21:03:52 +0000 2021,17,157
84,Anthony Pompliano 🌪,"W're LIVE with @AdamDraper right now talking bitcoin, crypto, and investing in sci-fi.

WATCH: https://t.co/UZYAlRqQBG",Wed Sep 01 16:14:12 +0000 2021,15,81
83,Anthony Pompliano 🌪,"We have two guests today on The Best Business Show.

First 12 year old @ObiWanBenoni who has made 6-figures in NFT sales in a matter of weeks.

Then @AdamDraper is coming to talk bitcoin, crypto, robotics, and other CRAZY stuff.

See you all soon :)",Wed Sep 01 12:53:27 +0000 2021,18,176
82,Anthony Pompliano 🌪,"The Federal Reserve has four distinct areas of focus.

Climate change and economic justice are not part of their mandate.

It is important that critiques of the Fed don’t stray from their actual mandate. https://t.co/eL12ABf4JI",Wed Sep 01 01:26:25 +0000 2021,53,349
81,Anthony Pompliano 🌪,"Twitter is now testing a new feature that will allow users to tip each other in bitcoin.

(h/t @BitcoinMagazine) https://t.co/nFmeno6d3U",Wed Sep 01 12:04:23 +0000 2021,449,3126
