model,precision,recall,f1_score,trend_change_precision,trend_change_recall,trend_change_f1_score,optuna_duration_sec,n_trials
Naive_Model,0.6674278102849532,0.6662524913346982,0.6668290427187055,0.4729729729729729,0.4729729729729729,0.4729729729729729,0.0,0
Random_Forest,0.7567980744210253,0.6304773116976259,0.5901761398146516,0.5833333333333334,0.3783783783783784,0.4590163934426229,157.2460684559992,200
Regresion_Logistic,0.6492997198879552,0.6561566655647767,0.649275073819714,0.5507246376811594,0.5135135135135135,0.5314685314685315,476.5092280869976,250
SVM,0.6450770720828584,0.655866211218787,0.6454691507585724,0.56,0.5675675675675675,0.5637583892617449,478.1512925449997,150
XGBClassifier,0.6320546737213404,0.6320354228647981,0.6134086576463477,0.6607142857142857,0.5,0.5692307692307692,213.3672537470001,200
Multiclass_Neural_Network,0.6439460908555156,0.6468452115145576,0.644580983905095,0.5204081632653061,0.6891891891891891,0.5930232558139535,1763.024241686,400
LSTM_RNN,0.369734560490863,0.3603863402000047,0.3260759114417651,0.3135593220338983,0.5,0.3854166666666667,1757.231129755,120
GradientBoosting,0.6529768331141663,0.6415503399427404,0.6307421116323653,0.5714285714285714,0.5405405405405406,0.5555555555555556,2036.157033584,75
LightGBM,0.5984198778793076,0.6234977082620488,0.5975746268656716,0.6833333333333333,0.5540540540540541,0.6119402985074627,358.19723503800014,1500
HistGradientBoosting,0.5974115939244505,0.6198745198562516,0.593498099809981,0.6451612903225806,0.5405405405405406,0.5882352941176471,635.719923769997,150
