date,walk_forward_portfolio,buy_and_hold_portfolio,dca_portfolio
2024-08-09,10000.0,10000.0,10000.0
2024-08-10,10000.0,9862.527964205816,9988.54399701715
2024-08-11,10000.0,9876.391725837306,9989.699310486441
2024-08-12,10000.0,9517.976526278248,9959.831377189854
2024-08-13,10000.0,9620.76322017962,9968.396935014967
2024-08-14,10000.0,9821.865577278475,9985.155464773206
2024-08-15,10000.0,9513.242875206692,9959.436906267223
2024-08-16,10000.0,9328.056609279254,9944.004717439937
2024-08-17,10000.0,9544.238563045099,9962.019880253758
2024-08-18,10000.0,9644.326103167656,9970.360508597303
2024-08-19,10000.0,9471.73588820802,9955.977990684001
2024-08-20,10000.0,9635.654767694454,9969.63789730787
2024-08-21,10000.0,9566.806082417404,9963.900506868116
2024-08-22,10000.0,9914.085854164641,9992.840487847052
2024-08-23,10000.0,9787.60658820478,9982.300549017064
2024-08-24,10606.436383566072,10381.162662516617,10031.763555209718
2024-08-25,10626.275448304395,10400.58035859028,10033.38169654919
2024-08-26,10636.705118588017,10410.788509548358,10034.232375795696
2024-08-27,10407.144713372883,10186.103816100898,10015.508651341741
2024-08-28,9840.858502483527,9631.84515124988,9969.320429270823
2024-08-29,9777.902846221741,9570.226631650617,9964.185552637551
2024-08-30,9777.902846221741,9622.766916318127,9968.563909693177
2024-08-31,9777.902846221741,9584.669130759004,9965.389094229917
2024-09-01,9777.902846221741,9560.35405116234,9963.36283759686
2024-09-02,9777.902846221741,9289.266608306585,9940.77221735888
2024-09-03,9777.902846221741,9585.987095937491,9992.117503226598
2024-09-04,9777.902846221741,9319.414453846903,9945.989079059003
2024-09-05,9777.902846221741,9397.740167947346,9959.542764594473
2024-09-06,9777.902846221741,9107.414972603185,9909.304136757997
2024-09-07,9777.902846221741,8748.009272768539,9847.111638532355
2024-09-08,9777.902846221741,8780.089485458613,9852.662882076136
2024-09-09,9777.902846221741,8895.041014168532,9872.554393948696
2024-09-10,9777.902846221741,9247.156567130305,9933.485386175229
